City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
181,Fort Saint James,CA,54.4333,-124.25,28.26,82,95,2.46,overcast clouds
182,Zhigansk,RU,66.7697,123.3711,7.36,94,100,26.93,light snow
183,Cap Malheureux,MU,-19.9842,57.6142,75.47,76,18,8.01,few clouds
184,Nhulunbuy,AU,-12.2333,136.7667,90.21,58,75,12.66,broken clouds
185,Marsh Harbour,BS,26.5412,-77.0636,75.15,73,36,16.73,scattered clouds
186,Bambous Virieux,MU,-20.3428,57.7575,75.45,83,40,5.75,scattered clouds
187,Voh,NC,-20.9667,164.7,80.01,62,100,5.5,overcast clouds
188,Longyearbyen,SJ,78.2186,15.6401,12.04,79,75,6.91,broken clouds
189,Opuwo,NA,-18.0607,13.84,65.7,38,80,1.7,broken clouds
190,Kahului,US,20.8947,-156.47,79.97,80,12,14.0,few clouds
191,Ponta Do Sol,PT,32.6667,-17.1,66.83,66,14,7.25,few clouds
192,Levokumskoye,RU,44.8219,44.6606,46.04,90,45,2.35,scattered clouds
193,Maragogi,BR,-9.0122,-35.2225,77.27,86,5,7.74,clear sky
194,Clyde River,CA,70.4692,-68.5914,11.08,89,42,11.59,scattered clouds
195,Wajima,JP,37.4,136.9,65.95,59,80,10.83,broken clouds
196,Boguchany,RU,58.3814,97.4531,30.42,95,100,12.46,light snow
197,Lichtenburg,ZA,-26.152,26.1597,64.0,79,100,18.66,overcast clouds
198,Georgetown,MY,5.4112,100.3354,82.89,87,20,5.01,few clouds
199,Tabriz,IR,38.08,46.2919,36.86,48,0,4.61,clear sky
200,Port Hedland,AU,-20.3167,118.5667,82.45,54,20,18.41,few clouds
201,Kirakira,SB,-10.4544,161.9205,86.41,65,3,8.25,clear sky
202,Luderitz,NA,-26.6481,15.1594,56.25,83,0,8.59,clear sky
203,Kenai,US,60.5544,-151.2583,32.02,93,90,8.05,light snow
204,Buraydah,SA,26.326,43.975,58.26,34,0,5.32,clear sky
205,Port Blair,IN,11.6667,92.75,82.87,81,100,10.31,overcast clouds
206,Mokrous,RU,51.2333,47.5167,37.44,90,72,6.11,broken clouds
207,Tiksi,RU,71.6872,128.8694,13.26,78,100,22.66,overcast clouds
208,Williston,US,48.147,-103.618,41.31,35,0,8.84,clear sky
209,Waddan,LY,29.1614,16.139,68.74,32,100,9.08,overcast clouds
210,Evanston,US,42.0411,-87.6901,58.95,63,75,3.0,broken clouds
211,Luxor,EG,25.6989,32.6421,70.54,30,0,2.53,clear sky
212,Macherla,IN,16.4833,79.4333,72.27,76,96,3.38,overcast clouds
213,Bengkulu,ID,-3.8004,102.2655,82.08,68,100,5.28,light rain
214,Alihe,CN,50.5667,123.7167,24.89,46,64,4.16,broken clouds
215,Esperance,AU,-33.8667,121.9,66.04,56,100,11.27,overcast clouds
216,Gizo,SB,-8.103,156.8419,84.58,69,80,5.99,light rain
217,Tra Vinh,VN,9.9347,106.3453,83.32,81,95,12.8,overcast clouds
218,Cravo Norte,CO,6.3017,-70.2041,78.76,76,100,5.48,overcast clouds
219,Vitina,BA,43.2375,17.4839,57.67,87,19,1.48,few clouds
220,Castro,BR,-24.7911,-50.0119,58.91,97,83,6.89,broken clouds
221,Saint George,US,37.1041,-113.5841,72.19,27,1,8.05,clear sky
222,Davila,PH,18.4726,120.5763,84.76,70,9,1.28,clear sky
223,Barcelos,PT,41.5388,-8.6151,55.92,59,98,5.41,overcast clouds
224,Wagga Wagga,AU,-35.1167,147.3667,77.59,33,0,10.89,clear sky
225,Bilibino,RU,68.0546,166.4372,-2.9,98,61,2.93,broken clouds
226,Leningradskiy,RU,69.3833,178.4167,7.66,83,42,9.71,scattered clouds
227,Praia Da Vitoria,PT,38.7333,-27.0667,69.76,87,7,19.6,clear sky
228,Honningsvag,NO,70.9821,25.9704,29.5,92,100,4.85,light snow
229,Dikson,RU,73.5069,80.5464,9.32,95,100,1.05,overcast clouds
230,Puksoozero,RU,62.5903,40.6066,26.49,92,100,6.89,overcast clouds
231,Sao Filipe,CV,14.8961,-24.4956,78.15,73,100,8.16,overcast clouds
232,Pemba,MZ,-12.974,40.5178,70.5,100,20,3.44,fog
233,Dutlwe,BW,-23.9833,23.9,79.23,36,100,17.81,overcast clouds
234,Kaitangata,NZ,-46.2817,169.8464,62.92,74,85,7.29,light rain
235,Chalus,IR,36.655,51.4204,55.09,59,0,2.8,clear sky
236,Winneba,GH,5.3511,-0.6231,77.9,89,18,7.63,light rain
237,Saint-Denis,FR,48.9167,2.3333,44.15,94,20,0.0,few clouds
238,Beloha,MG,-25.1667,45.05,71.87,56,63,5.48,broken clouds
239,Vila Velha,BR,-20.3297,-40.2925,71.94,88,90,5.01,overcast clouds
240,Herat,AF,34.5,62.0,42.91,62,100,3.76,overcast clouds
241,Dhidhdhoo,MV,6.8833,73.1,80.55,77,37,11.86,scattered clouds
242,Harper,LR,4.375,-7.7169,78.53,87,100,5.41,overcast clouds
243,Shingu,JP,33.7333,135.9833,72.59,74,35,20.0,scattered clouds
244,Flinders,AU,-34.5833,150.8552,77.81,75,36,5.01,scattered clouds
245,Launceston,AU,-41.45,147.1667,66.61,55,40,5.99,scattered clouds
246,Neuquen,AR,-38.9516,-68.0591,66.09,42,0,4.61,clear sky
247,Shihezi,CN,44.3,86.0333,18.12,76,4,2.17,clear sky
248,Ovsyanka,RU,55.9575,92.5519,40.17,64,100,17.18,overcast clouds
249,Chalons-En-Champagne,FR,48.9539,4.3672,37.98,90,93,3.76,overcast clouds
250,Oranjestad,AW,12.524,-70.027,82.35,78,20,19.57,few clouds
251,Booue,GA,-0.0921,11.9385,71.6,99,100,2.01,light rain
252,Banjar,ID,-8.19,114.9675,85.91,63,76,3.67,broken clouds
253,Youkounkoun,GN,12.5333,-13.1333,79.36,67,9,5.32,clear sky
254,Bereda,ES,43.2686,-7.5406,50.0,100,100,2.86,overcast clouds
255,Qui Nhon,VN,13.7667,109.2333,80.1,85,64,13.42,broken clouds
256,Riyadh,SA,24.6877,46.7219,62.74,28,54,7.9,broken clouds
257,Georgiyevskoye,RU,58.731,45.024,33.46,98,100,6.64,light snow
258,Yulara,AU,-25.2406,130.9889,64.24,100,75,10.36,broken clouds
259,Hasaki,JP,35.7333,140.8333,66.6,51,39,17.02,scattered clouds
260,George,ZA,-33.963,22.4617,56.79,86,100,4.59,light rain
261,Asau,RO,46.4333,26.4,48.76,85,100,6.13,overcast clouds
262,Belaya Gora,RU,68.5333,146.4167,-6.03,96,100,1.57,overcast clouds
263,Margate,GB,51.3813,1.3862,45.7,83,84,1.99,broken clouds
264,Narsaq,GL,60.9167,-46.05,25.97,82,100,1.61,overcast clouds
265,Itoman,JP,26.1247,127.6694,77.4,69,75,10.36,broken clouds
266,Binzhou,CN,37.3667,118.0167,26.85,80,5,13.22,clear sky
